date,tournament,neutral,oc,total,btts,pH,pD,pA,p_o25,p_btts,rps,fav,comp,fav_oc,fb
2024-11-16,CONCACAF Nations League,True,0,3,1,0.5596937555550855,0.2346012443116787,0.20570500013323595,0.5109296755467472,0.5116408318328031,0.11809206798849967,0.5596937555550855,Other,1,5
2024-11-16,African Cup of Nations qualification,True,2,2,0,0.2422661788245808,0.24398383501699952,0.5137499861584197,0.5110245991433927,0.5291038054129442,0.1475659886816004,0.5137499861584197,Other,1,5
2024-11-16,Friendly,True,0,1,0,0.0999898343458159,0.18592859768637243,0.7140815679678119,0.5109248482324378,0.4096871968784961,0.6599653919961201,0.7140815679678119,Friendly,0,7
2024-11-16,Friendly,True,0,2,0,0.17543935642308423,0.22440619523619498,0.6001544483407206,0.5107612753603996,0.49182059771057896,0.5200428083995662,0.6001544483407206,Friendly,0,6
2024-11-16,Friendly,False,0,3,1,0.4162424009831906,0.25577742315163027,0.3279801758651791,0.5109306285603858,0.5499155230053447,0.2241719650852119,0.4162424009831906,Friendly,1,4
2024-11-16,CONCACAF Nations League,False,0,7,1,0.7219969437241134,0.1826985747250698,0.09530448155081672,0.5110761942076251,0.40228473376167495,0.04318432175120189,0.7219969437241134,Other,1,7
2024-11-16,UEFA Nations League,False,2,1,0,0.1840588572431192,0.22752945119632093,0.58841169156056,0.5109292308712209,0.4981230813652537,0.10164129928684135,0.58841169156056,Other,1,5
2024-11-16,African Cup of Nations qualification,True,0,1,0,0.25494737473834467,0.24660940245455187,0.4984432228071035,0.5108912652948284,0.5336858689765122,0.4017745303858082,0.4984432228071035,Other,0,4
2024-11-16,UEFA Nations League,False,1,0,0,0.520196136982735,0.24282741815722897,0.23697644486003597,0.5109301085993523,0.526887358295918,0.16338092817513106,0.520196136982735,Other,0,5
2024-11-16,UEFA Nations League,False,0,7,0,0.9335967191204451,0.06336732979389599,0.0030359510856587625,0.5531556907280151,0.045939212537238504,0.00220930635528179,0.9335967191204451,Other,1,9
2024-11-16,UEFA Nations League,False,0,4,0,0.6829013928655523,0.19783955911492562,0.11925904801952199,0.511168153415653,0.43703022795409213,0.05738712359056475,0.6829013928655523,Other,1,6
2024-11-16,UEFA Nations League,False,1,0,0,0.3430649300605063,0.2565214463649353,0.40041362357455856,0.51115676242041,0.5514691948064573,0.1390123080907641,0.40041362357455856,Other,0,4
2024-11-16,UEFA Nations League,False,0,3,1,0.4419715356170344,0.25379800625107873,0.30423045813188687,0.5109305608198973,0.5464693511075508,0.20197596935837425,0.4419715356170344,Other,1,4
2024-11-16,UEFA Nations League,False,2,2,0,0.38936054239122125,0.2569418040063142,0.3536976536024643,0.5108691385972971,0.5518586138143767,0.284654177465073,0.38936054239122125,Other,0,3
2024-11-16,UEFA Nations League,False,1,0,0,0.569354037212998,0.23227552635923718,0.19837043642776486,0.5111917102561306,0.5075563996565564,0.1817574248696409,0.569354037212998,Other,0,5
2024-11-16,UEFA Nations League,False,1,2,1,0.3382023901179708,0.25635471968427065,0.40544289019775837,0.5109306475671728,0.5509157428080268,0.1393823969467099,0.40544289019775837,Other,0,4
2024-11-17,African Cup of Nations qualification,False,0,3,0,0.30645420214207253,0.25402231581407225,0.43952348204385516,0.5109305686984182,0.546861176836877,0.3370933324971721,0.43952348204385516,Other,0,4
2024-11-17,African Cup of Nations qualification,False,0,6,1,0.8785841088302031,0.10318485168155367,0.018231039488243214,0.5111305551136104,0.16531879373351507,0.007537094714688925,0.8785841088302031,Other,1,8
2024-11-17,FIFA World Cup qualification,True,1,2,1,0.3242755508817304,0.2555281275970965,0.42019632152117314,0.5109306202487859,0.5494829200924578,0.1408597907597874,0.42019632152117314,WC qual,0,4
2024-11-17,CONCACAF Nations League,False,0,1,0,0.7843407328847756,0.15492283358574063,0.06073643352948371,0.5106189288828034,0.3309455615796066,0.02509891692527856,0.7843407328847756,Other,1,7
2024-11-17,CONCACAF Nations League,True,0,4,1,0.43073284688740965,0.2547482786229781,0.31451887448961224,0.5110126161431664,0.5482233897424742,0.21149360701156295,0.43073284688740965,Other,1,4
2024-11-17,UEFA Nations League,False,2,3,1,0.3174200089868734,0.2550095249216362,0.4275704660914905,0.5109306027564723,0.5485816792560213,0.21421551669797015,0.4275704660914905,Other,1,4
2024-11-17,FIFA World Cup qualification,False,2,3,1,0.3667883906245064,0.25710936442416316,0.3761022449513305,0.5110531260316449,0.5523633472929916,0.26189106612584256,0.3761022449513305,WC qual,1,3
2024-11-17,UEFA Nations League,False,1,2,1,0.6326330904575992,0.21485034821383953,0.15251656132856117,0.5110426008664676,0.47300996720035904,0.21174296431071082,0.6326330904575992,Other,0,6
2024-11-17,UEFA Nations League,False,0,1,0,0.8504004279006477,0.1200113606186293,0.029588211480723135,0.5109069569601656,0.22527731566500867,0.011627747115468642,0.8504004279006477,Other,1,8
2024-11-17,UEFA Nations League,True,0,1,0,0.04570547796575167,0.1396025955882737,0.8146919264459749,0.510864833277896,0.28745668497751037,0.7872004849004139,0.8146919264459749,Other,0,8
2024-11-17,UEFA Nations League,False,2,4,1,0.3402861756119876,0.2564136286061389,0.40330019578187326,0.5111010898442213,0.5512174697206979,0.2359226688332915,0.40330019578187326,Other,1,4
2024-11-17,Friendly,False,1,2,1,0.9458837192887791,0.05165342541904938,0.002462855292171481,0.6010997872101167,0.04648558954658717,0.44735103803588205,0.9458837192887791,Friendly,0,9
2024-11-17,UEFA Nations League,False,2,2,0,0.22067184453901212,0.23876817242931428,0.5405599830316735,0.5111225669435852,0.5196580467934786,0.12989059608205297,0.5405599830316735,Other,1,5
2024-11-17,UEFA Nations League,False,0,5,0,0.8187979291977474,0.1374516608179969,0.04375040998425563,0.5107715089152932,0.2808580990567489,0.01737414441840751,0.8187979291977474,Other,1,8
2024-11-17,UEFA Nations League,False,0,5,0,0.8769752666087818,0.10420039811797004,0.018824335273248227,0.5108990439745895,0.1688373956989079,0.00774472031222999,0.8769752666087818,Other,1,8
2024-11-18,CONCACAF Nations League,False,0,6,1,0.6531349572606514,0.20827468465347546,0.13859035808587317,0.5109276233338961,0.45921857227720797,0.06976132261447034,0.6531349572606514,Other,1,6
2024-11-18,Friendly,False,1,2,1,0.2905534494760118,0.2521696961748571,0.4572768543491308,0.5112065068842196,0.543940460093385,0.14676171426292287,0.4572768543491308,Friendly,0,4
2024-11-18,Friendly,False,2,5,1,0.6669897276170385,0.20355677074558606,0.12945350163737548,0.5109271277118844,0.4491786055838589,0.6013632512790391,0.6669897276170385,Friendly,0,6
2024-11-18,FIFA World Cup qualification,True,0,2,0,0.4580602058523303,0.25213942457547256,0.2898003695721972,0.5109305009349787,0.5435617135842691,0.1888414973425003,0.4580602058523303,WC qual,1,4
2024-11-18,FIFA World Cup qualification,False,0,8,0,0.9265739904205976,0.07006135325404592,0.0033646563253564503,0.528369380243398,0.045624629356779196,0.002701349897471125,0.9265739904205976,WC qual,1,9
2024-11-18,African Cup of Nations qualification,False,2,1,0,0.79738202284013,0.14846231539083168,0.05415566176903819,0.5109170126598456,0.31333441576848725,0.7652198012560918,0.79738202284013,Other,0,7
2024-11-18,African Cup of Nations qualification,False,0,7,0,0.9356695516787774,0.06139136635223042,0.002939081968992388,0.5608107331010628,0.04603176134623905,0.0020735223920149725,0.9356695516787774,Other,1,9
2024-11-18,African Cup of Nations qualification,True,2,1,0,0.22681016604071658,0.2403497838286031,0.5328400501306803,0.5111126560315109,0.5225668491018379,0.13484063509066133,0.5328400501306803,Other,1,5
2024-11-18,African Cup of Nations qualification,False,2,3,1,0.7491711560425025,0.17115638372754613,0.07967246022995146,0.5109223206007163,0.37391844583515854,0.704130100752625,0.7491711560425025,Other,0,7
2024-11-18,African Cup of Nations qualification,False,2,3,1,0.6834669829787974,0.19767009613730419,0.11886292088389853,0.510926445185654,0.43634833531854006,0.6217648345076974,0.6834669829787974,Other,0,6
2024-11-18,African Cup of Nations qualification,True,1,0,0,0.20570500013323595,0.2346012443116787,0.5596937555550854,0.5109296755467472,0.5116408318328031,0.17778582354358513,0.5596937555550854,Other,0,5
2024-11-18,African Cup of Nations qualification,False,0,3,0,0.18537235189118442,0.22796378550263952,0.5866638626061761,0.5110510958900625,0.4991134473783213,0.5038963463756493,0.5866638626061761,Other,0,5
2024-11-18,African Cup of Nations qualification,True,0,1,0,0.4751916372182664,0.25000818122720286,0.2748001815545308,0.5110218369055473,0.5399064408897039,0.17546947871402338,0.4751916372182664,Other,1,4
2024-11-18,African Cup of Nations qualification,False,1,0,0,0.42625779222006077,0.2550785574543675,0.31866365032557153,0.511062263191268,0.5488563770924874,0.1416211137335694,0.42625779222006077,Other,0,4
2024-11-18,CONCACAF Nations League,False,1,4,1,0.4952960639302558,0.24705140565945777,0.2576525304102863,0.5111825350525444,0.5348253598607831,0.1558515086858138,0.4952960639302558,Other,0,4
2024-11-18,CONCACAF Nations League,False,2,3,0,0.15056059035488994,0.21406962125348286,0.6353697883916274,0.510609830021895,0.4708710599060285,0.07781184129278987,0.6353697883916274,Other,1,6
2024-11-18,CONCACAF Nations League,False,0,4,0,0.5413798556853284,0.23862555957590578,0.21999458473876582,0.5109707677967421,0.5192112146482043,0.1293650270427961,0.5413798556853284,Other,1,5
2024-11-18,UEFA Nations League,False,2,3,1,0.46399482458220553,0.25144770299209485,0.28455747242569945,0.5109304751011672,0.5423436123449228,0.36357460375048767,0.46399482458220553,Other,0,4
2024-11-18,UEFA Nations League,False,1,0,0,0.4055941397780175,0.2563856723755851,0.3380201878463973,0.5107573827519607,0.5507661681568723,0.13938212680699186,0.4055941397780175,Other,0,4
2024-11-18,UEFA Nations League,False,0,5,1,0.8115875024561607,0.14120642420970447,0.047206073334134874,0.5109972580659905,0.29240865982389663,0.018863841295167477,0.8115875024561607,Other,1,8
2024-11-18,UEFA Nations League,False,0,1,0,0.7124767608142356,0.18657032372682797,0.10095291545893634,0.5109249442724234,0.41118299222264404,0.046430552105766715,0.7124767608142356,Other,1,7
2024-11-18,UEFA Nations League,False,0,5,1,0.8955834026870162,0.09245337269066425,0.011963224622319654,0.5106156018449773,0.12211593775723813,0.0055229722688929445,0.8955834026870162,Other,1,8
2024-11-18,UEFA Nations League,False,1,2,1,0.335218988362407,0.25620285165927625,0.40857815997831665,0.5109306425995623,0.5506528287525474,0.13965394148499127,0.40857815997831665,Other,0,4
2024-11-18,UEFA Nations League,False,1,2,1,0.50736373009308,0.24511974038778483,0.24751652951913525,0.5109302143705972,0.5310482424495533,0.1593411934995803,0.50736373009308,Other,0,5
2024-11-18,UEFA Nations League,False,2,4,1,0.6793727933942157,0.19913435667969012,0.12149284992609406,0.5110960088423921,0.4397872786211464,0.616661102567618,0.6793727933942157,Other,0,6
2024-11-18,CONCACAF Nations League,True,2,3,0,0.3844476882517627,0.2570751268278925,0.3584771849203447,0.5107446274211617,0.551942958004019,0.279675773634925,0.3844476882517627,Other,0,3
2024-11-18,CONCACAF Nations League,False,2,5,1,0.2164955121673832,0.2376569851399301,0.5458475026926868,0.511073196558983,0.5175355732238656,0.1265623987995434,0.5458475026926868,Other,1,5
2024-11-18,UEFA Nations League,False,1,4,1,0.32931206641860356,0.25586179918286905,0.41482613439852734,0.5109306313592921,0.5500618484889831,0.1402635794344579,0.41482613439852734,Other,0,4
2024-11-18,CONCACAF Nations League,True,2,1,0,0.2733419757840211,0.24980318590586503,0.476854838310114,0.5109304116174772,0.5394346605641648,0.17419834796252473,0.476854838310114,Other,1,4
2024-11-19,FIFA World Cup qualification,False,2,4,1,0.059141143069131014,0.15329226311646918,0.7875665938143999,0.5111146996517053,0.32712760740879465,0.02431281343356981,0.7875665938143999,WC qual,1,7
2024-11-19,FIFA World Cup qualification,False,0,2,0,0.2353678363965245,0.24237730186582485,0.5222548617376508,0.511260951329632,0.5264616992434451,0.4287062431127724,0.5222548617376508,WC qual,0,5
2024-11-19,FIFA World Cup qualification,False,1,4,1,0.16521049824000147,0.2203930396650619,0.6143964620949366,0.5106793600539875,0.4837671465767169,0.2023887606817422,0.6143964620949366,WC qual,0,6
2024-11-19,FIFA World Cup qualification,False,1,2,1,0.16203414770299795,0.21904661075843093,0.6189192415385711,0.5108006199622326,0.4812185735089542,0.20465804628425854,0.6189192415385711,WC qual,0,6
2024-11-19,FIFA World Cup qualification,True,1,2,1,0.03554127224623144,0.12771745374505863,0.8367412740087099,0.5109101442880432,0.2506811518665825,0.3506995708312999,0.8367412740087099,WC qual,0,8
