key,HomeTeam,date_str,lat,lon,precipitation,wind_speed,temperature
Dijon|2019-09-14,Dijon,2019-09-14,47.3167,5.05,0.0,16.3,20.5
Montpellier|2019-09-14,Montpellier,2019-09-14,43.6222,3.8128,0.0,15.6,22.6
Clermont|2019-09-14,Clermont,2019-09-14,45.7731,3.1,0.0,9.5,22.9
Nantes|2019-09-15,Nantes,2019-09-15,47.2558,-1.5247,0.0,17.3,21.8
St Etienne|2019-09-15,St Etienne,2019-09-15,45.4608,4.3906,0.0,10.9,23.4
Monaco|2019-09-15,Monaco,2019-09-15,43.7278,7.4153,0.0,12.1,23.8
Lens|2019-09-16,Lens,2019-09-16,50.4333,2.8167,0.6,12.6,16.6
Strasbourg|2019-09-20,Strasbourg,2019-09-20,48.5628,7.7519,0.0,16.6,14.0
Auxerre|2019-09-20,Auxerre,2019-09-20,47.7833,3.5667,0.0,18.5,16.4
Le Mans|2019-09-20,Le Mans,2019-09-20,48.0039,0.1956,0.0,22.7,17.5
Nancy|2019-09-20,Nancy,2019-09-20,48.6833,6.2,0.0,23.3,13.9
Orleans|2019-09-20,Orleans,2019-09-20,47.9029,1.9039,0.0,20.8,17.0
Paris FC|2019-09-20,Paris FC,2019-09-20,48.8167,2.3,0.0,21.7,16.4
Sochaux|2019-09-20,Sochaux,2019-09-20,47.5,6.8167,0.0,21.7,12.6
Valenciennes|2019-09-20,Valenciennes,2019-09-20,50.3667,3.5167,0.0,18.4,14.0
Marseille|2019-09-21,Marseille,2019-09-21,43.27,5.3953,4.7,39.0,20.3
Bordeaux|2019-09-21,Bordeaux,2019-09-21,44.8417,-0.5731,1.7,19.1,23.2
Metz|2019-09-21,Metz,2019-09-21,49.11,6.1778,0.0,16.9,16.8
Nice|2019-09-21,Nice,2019-09-21,43.705,7.2603,2.9,24.9,20.3
Nimes|2019-09-21,Nimes,2019-09-21,43.8381,4.3806,14.1,26.0,18.7
Reims|2019-09-21,Reims,2019-09-21,49.2389,4.0531,0.0,19.9,19.6
Caen|2019-09-21,Caen,2019-09-21,49.1667,-0.3667,0.0,22.0,20.4
Rennes|2019-09-22,Rennes,2019-09-22,48.1078,-1.7144,4.2,27.8,17.8
Angers|2019-09-22,Angers,2019-09-22,47.4667,-0.55,2.7,26.8,18.5
Lyon|2019-09-22,Lyon,2019-09-22,45.7654,4.9822,18.0,25.5,19.9
Lorient|2019-09-23,Lorient,2019-09-23,47.75,-3.3667,10.5,34.8,16.6
Dijon|2019-09-24,Dijon,2019-09-24,47.3167,5.05,6.4,19.8,13.9
Monaco|2019-09-24,Monaco,2019-09-24,43.7278,7.4153,0.0,10.6,20.4
Amiens|2019-09-25,Amiens,2019-09-25,49.8941,2.2831,8.0,25.0,15.0
Brest|2019-09-25,Brest,2019-09-25,48.39,-4.4833,7.9,29.4,15.8
Lille|2019-09-25,Lille,2019-09-25,50.6167,3.1333,6.2,26.6,14.7
Montpellier|2019-09-25,Montpellier,2019-09-25,43.6222,3.8128,2.5,18.7,19.0
Nantes|2019-09-25,Nantes,2019-09-25,47.2558,-1.5247,6.2,22.4,16.4
St Etienne|2019-09-25,St Etienne,2019-09-25,45.4608,4.3906,1.8,18.8,15.8
Toulouse|2019-09-25,Toulouse,2019-09-25,43.5833,1.4333,1.7,23.4,18.0
Paris SG|2019-09-25,Paris SG,2019-09-25,48.8414,2.253,4.1,26.7,15.8
Ajaccio|2019-09-27,Ajaccio,2019-09-27,41.92,8.7381,0.0,11.4,21.2
Clermont|2019-09-27,Clermont,2019-09-27,45.7731,3.1,0.1,17.3,16.4
Grenoble|2019-09-27,Grenoble,2019-09-27,45.1667,5.7167,0.2,7.5,19.6
Le Havre|2019-09-27,Le Havre,2019-09-27,49.4833,0.1,2.1,34.3,16.0
Niort|2019-09-27,Niort,2019-09-27,46.3278,-0.4603,9.9,27.6,17.3
Rodez|2019-09-27,Rodez,2019-09-27,44.35,2.5667,0.0,15.3,15.7
Troyes|2019-09-27,Troyes,2019-09-27,48.2956,4.0667,6.0,26.1,17.1
Lyon|2019-09-28,Lyon,2019-09-28,45.7654,4.9822,0.1,10.6,16.8
Bordeaux|2019-09-28,Bordeaux,2019-09-28,44.8417,-0.5731,0.1,13.7,17.6
Angers|2019-09-28,Angers,2019-09-28,47.4667,-0.55,0.1,23.4,16.1
Metz|2019-09-28,Metz,2019-09-28,49.11,6.1778,0.3,25.5,15.0
Monaco|2019-09-28,Monaco,2019-09-28,43.7278,7.4153,0.0,16.4,20.1
Nice|2019-09-28,Nice,2019-09-28,43.705,7.2603,0.0,14.2,21.1
Reims|2019-09-28,Reims,2019-09-28,49.2389,4.0531,0.1,27.6,15.4
Lens|2019-09-28,Lens,2019-09-28,50.4333,2.8167,1.8,30.4,15.1
Strasbourg|2019-09-29,Strasbourg,2019-09-29,48.5628,7.7519,3.2,25.1,16.7
Nimes|2019-09-29,Nimes,2019-09-29,43.8381,4.3806,0.0,14.5,18.1
Marseille|2019-09-29,Marseille,2019-09-29,43.27,5.3953,0.0,11.3,19.9
Guingamp|2019-09-30,Guingamp,2019-09-30,48.5608,-3.15,2.9,29.9,15.5
Amiens|2019-10-04,Amiens,2019-10-04,49.8941,2.2831,4.1,30.5,13.6
Caen|2019-10-04,Caen,2019-10-04,49.1667,-0.3667,1.0,29.7,14.9
Guingamp|2019-10-04,Guingamp,2019-10-04,48.5608,-3.15,0.4,29.5,14.3
Le Mans|2019-10-04,Le Mans,2019-10-04,48.0039,0.1956,1.4,25.4,15.1
Lorient|2019-10-04,Lorient,2019-10-04,47.75,-3.3667,2.1,34.2,15.3
Nancy|2019-10-04,Nancy,2019-10-04,48.6833,6.2,5.9,24.3,10.7
Paris FC|2019-10-04,Paris FC,2019-10-04,48.8167,2.3,2.8,29.1,14.2
Sochaux|2019-10-04,Sochaux,2019-10-04,47.5,6.8167,5.6,24.3,10.0
Valenciennes|2019-10-04,Valenciennes,2019-10-04,50.3667,3.5167,3.9,27.9,13.0
Paris SG|2019-10-05,Paris SG,2019-10-05,48.8414,2.253,1.5,18.7,14.7
Brest|2019-10-05,Brest,2019-10-05,48.39,-4.4833,5.3,24.0,15.2
Dijon|2019-10-05,Dijon,2019-10-05,47.3167,5.05,1.0,12.8,13.2
Montpellier|2019-10-05,Montpellier,2019-10-05,43.6222,3.8128,0.0,25.7,17.2
Nantes|2019-10-05,Nantes,2019-10-05,47.2558,-1.5247,0.2,18.0,15.5
Toulouse|2019-10-05,Toulouse,2019-10-05,43.5833,1.4333,0.3,14.0,15.5
Auxerre|2019-10-05,Auxerre,2019-10-05,47.7833,3.5667,1.9,17.4,13.8
Lille|2019-10-06,Lille,2019-10-06,50.6167,3.1333,12.6,27.7,12.7
Rennes|2019-10-06,Rennes,2019-10-06,48.1078,-1.7144,3.4,22.6,14.8
St Etienne|2019-10-06,St Etienne,2019-10-06,45.4608,4.3906,3.4,20.1,12.9
Orleans|2019-10-07,Orleans,2019-10-07,47.9029,1.9039,0.0,17.3,12.9
Nice|2019-10-18,Nice,2019-10-18,43.705,7.2603,2.6,7.7,17.1
Ajaccio|2019-10-18,Ajaccio,2019-10-18,41.92,8.7381,0.1,12.5,16.9
Caen|2019-10-18,Caen,2019-10-18,49.1667,-0.3667,0.9,31.1,13.2
Clermont|2019-10-18,Clermont,2019-10-18,45.7731,3.1,0.3,12.1,14.1
Grenoble|2019-10-18,Grenoble,2019-10-18,45.1667,5.7167,8.5,7.4,15.7
Niort|2019-10-18,Niort,2019-10-18,46.3278,-0.4603,6.0,25.0,14.6
Troyes|2019-10-18,Troyes,2019-10-18,48.2956,4.0667,3.3,27.4,14.2
Lyon|2019-10-19,Lyon,2019-10-19,45.7654,4.9822,19.8,34.1,15.8
Angers|2019-10-19,Angers,2019-10-19,47.4667,-0.55,5.0,13.0,13.3
Metz|2019-10-19,Metz,2019-10-19,49.11,6.1778,3.5,21.6,12.9
Nimes|2019-10-19,Nimes,2019-10-19,43.8381,4.3806,7.5,31.2,18.6
Reims|2019-10-19,Reims,2019-10-19,49.2389,4.0531,12.4,17.4,12.4
Toulouse|2019-10-19,Toulouse,2019-10-19,43.5833,1.4333,0.0,11.0,16.4
Le Havre|2019-10-19,Le Havre,2019-10-19,49.4833,0.1,1.1,26.1,12.9
Bordeaux|2019-10-20,Bordeaux,2019-10-20,44.8417,-0.5731,14.0,22.6,13.8
Monaco|2019-10-20,Monaco,2019-10-20,43.7278,7.4153,4.4,18.6,19.3
Marseille|2019-10-20,Marseille,2019-10-20,43.27,5.3953,17.9,41.5,19.4
Lens|2019-10-21,Lens,2019-10-21,50.4333,2.8167,4.0,19.1,12.0
Nantes|2019-10-25,Nantes,2019-10-25,47.2558,-1.5247,1.8,26.2,15.0
Auxerre|2019-10-25,Auxerre,2019-10-25,47.7833,3.5667,0.0,17.4,13.2
Guingamp|2019-10-25,Guingamp,2019-10-25,48.5608,-3.15,0.6,36.2,13.8
Le Mans|2019-10-25,Le Mans,2019-10-25,48.0039,0.1956,2.2,27.4,13.7
Nancy|2019-10-25,Nancy,2019-10-25,48.6833,6.2,0.0,16.6,13.0
Orleans|2019-10-25,Orleans,2019-10-25,47.9029,1.9039,0.0,21.0,13.0
Paris FC|2019-10-25,Paris FC,2019-10-25,48.8167,2.3,0.1,23.7,12.7
Rodez|2019-10-25,Rodez,2019-10-25,44.35,2.5667,2.0,15.3,10.6
Sochaux|2019-10-25,Sochaux,2019-10-25,47.5,6.8167,0.1,13.0,12.1
Lille|2019-10-26,Lille,2019-10-26,50.6167,3.1333,0.1,29.4,16.2
Brest|2019-10-26,Brest,2019-10-26,48.39,-4.4833,17.7,37.9,14.8
Lyon|2019-10-26,Lyon,2019-10-26,45.7654,4.9822,0.0,13.7,13.9
Montpellier|2019-10-26,Montpellier,2019-10-26,43.6222,3.8128,0.0,10.9,15.7
Reims|2019-10-26,Reims,2019-10-26,49.2389,4.0531,0.0,19.5,14.5
Strasbourg|2019-10-26,Strasbourg,2019-10-26,48.5628,7.7519,0.0,17.6,13.1
Lorient|2019-10-26,Lorient,2019-10-26,47.75,-3.3667,14.7,34.6,16.4
Rennes|2019-10-27,Rennes,2019-10-27,48.1078,-1.7144,18.3,18.3,10.9
St Etienne|2019-10-27,St Etienne,2019-10-27,45.4608,4.3906,0.0,14.6,15.8
Paris SG|2019-10-27,Paris SG,2019-10-27,48.8414,2.253,7.1,17.6,11.1
Valenciennes|2019-10-28,Valenciennes,2019-10-28,50.3667,3.5167,0.0,14.9,8.1
Dijon|2019-11-01,Dijon,2019-11-01,47.3167,5.05,9.0,22.3,11.5
Ajaccio|2019-11-01,Ajaccio,2019-11-01,41.92,8.7381,4.2,8.4,16.2
Caen|2019-11-01,Caen,2019-11-01,49.1667,-0.3667,13.8,25.8,14.9
Troyes|2019-11-01,Troyes,2019-11-01,48.2956,4.0667,17.0,25.8,12.6
Marseille|2019-11-02,Marseille,2019-11-02,43.27,5.3953,10.3,24.4,16.9
Amiens|2019-11-02,Amiens,2019-11-02,49.8941,2.2831,2.8,35.2,13.1
Angers|2019-11-02,Angers,2019-11-02,47.4667,-0.55,5.4,27.8,12.8
Metz|2019-11-02,Metz,2019-11-02,49.11,6.1778,11.6,28.5,13.0
Toulouse|2019-11-02,Toulouse,2019-11-02,43.5833,1.4333,13.1,12.3,14.5
Clermont|2019-11-02,Clermont,2019-11-02,45.7731,3.1,5.9,18.2,14.0
Grenoble|2019-11-02,Grenoble,2019-11-02,45.1667,5.7167,26.0,10.1,15.1
Lens|2019-11-02,Lens,2019-11-02,50.4333,2.8167,4.6,40.4,13.1
Niort|2019-11-02,Niort,2019-11-02,46.3278,-0.4603,24.2,28.5,13.4
Bordeaux|2019-11-03,Bordeaux,2019-11-03,44.8417,-0.5731,25.3,52.9,13.6
