Date,Div,season,HomeTeam,AwayTeam,Result,GoalDiff,mu_model,mu_mkt,pH_n,pD_n,pA_n,pH_p,pD_p,pA_p,p_H_mkt,p_D_mkt,p_A_mkt
2023-10-21,D1,2023-24,Union Berlin,Stuttgart,A,-3.0,-1.4234801720468884,0.1067579341390521,0.16765807173065372,0.15417952976839544,0.6781623985009508,0.09920634205628204,0.1912399234193865,0.7095444691329975,0.3747681597117754,0.2902507112307815,0.334981129057443
2023-10-21,D1,2023-24,Hoffenheim,Ein Frankfurt,A,-2.0,1.571328736473823,0.5847188122808172,0.7042359612782376,0.1460167223666921,0.14974731635507027,0.7419959983235973,0.1775696631336218,0.08042147811461048,0.4744014897170429,0.2677444024156461,0.2578541078673109
2023-10-21,D1,2023-24,Darmstadt,RB Leipzig,A,-2.0,-2.2677301504981107,-1.4612324339166598,0.08282131475397425,0.1051365370866324,0.8120421481593934,0.017362964013169176,0.10772071901993116,0.8748654338454482,0.147598206850116,0.190720035910248,0.661681757239636
2023-10-21,D1,2023-24,Freiburg,Bochum,H,1.0,1.2777929862052446,0.897020639388468,0.651581029122672,0.1618168060060715,0.18660216487125647,0.6764589377671485,0.20393807121034108,0.11959637888529762,0.5389265778277418,0.2494775206824073,0.2115959014898508
2023-10-22,D1,2023-24,FC Koln,M'gladbach,H,2.0,-0.22288409134288012,0.1195397189136113,0.35864281269108556,0.1965554256416978,0.44480176166721663,0.3178241245220751,0.26055792050706617,0.4216175596443105,0.3889750426740151,0.2670891301194872,0.3439358272064976
2023-10-22,D1,2023-24,Heidenheim,Augsburg,A,-3.0,1.0220609541327201,0.186055128260383,0.6031456013762875,0.17394147156292145,0.22291292706079108,0.6162693809584048,0.22391207710397926,0.159815019410428,0.3991264908449521,0.2716277507139258,0.3292457584411221
2023-10-27,D1,2023-24,Bochum,Mainz,D,0.0,0.5840007349360146,-0.1071233366442623,0.5167807560985558,0.18964411923563107,0.29357512466581315,0.5095951259289246,0.2494417654928656,0.2409620457194004,0.3416110064508762,0.276588456927556,0.3818005366215676
2023-10-28,D1,2023-24,RB Leipzig,FC Koln,H,6.0,2.7788207368032114,1.4291029447958188,0.8731585209477771,0.07658213020931043,0.05025934884291244,0.9143474487651502,0.07825952570581918,0.007272376725676771,0.6498360737274472,0.2025639644045808,0.147599961867972
2023-10-28,D1,2023-24,Stuttgart,Hoffenheim,A,-1.0,2.104970572202756,1.0421553127608876,0.7892788069047987,0.11474346320057338,0.09597772989462794,0.8471738037962802,0.12431742794802361,0.0284710330780036,0.5807145314053102,0.218914958791618,0.2003705098030719
2023-10-28,D1,2023-24,Werder Bremen,Union Berlin,H,2.0,0.01594176774605821,-0.1181845924841074,0.404211006507849,0.19775243862522596,0.398036554866925,0.37248163996482153,0.26247578192753634,0.3650422772794178,0.3400628272251309,0.2755183246073298,0.3844188481675393
