sample,half_life,market_weight,rmse,seasons,hl_bin,mw_bin
189,,0.4901975424015864,1.6057428645752712,"['2019-20', '2015-16', '2017-18', '2016-17']",271-730,0.4-0.6
190,51.0,0.5864451730147959,1.5907958598398118,"['2019-20', '2015-16', '2016-17', '2023-24']",30-60,0.4-0.6
191,186.0,0.4932899758506666,1.595947085014617,"['2015-16', '2018-19', '2019-20', '2016-17']",121-270,0.4-0.6
192,159.0,0.08411533455688203,1.7018341192655084,"['2016-17', '2018-19', '2017-18', '2021-22']",121-270,0.0-0.2
193,384.0,0.24366745405571355,1.6534586526766222,"['2015-16', '2023-24', '2017-18', '2018-19']",271-730,0.2-0.4
194,203.0,0.8435883847625412,1.5656712318480388,"['2022-23', '2016-17', '2021-22', '2017-18']",121-270,0.8-1.0
195,43.0,0.6375887004784591,1.5805087635578006,"['2023-24', '2022-23', '2020-21', '2015-16']",30-60,0.6-0.8
196,,0.6491490501342744,1.5709600296000998,"['2015-16', '2017-18', '2016-17', '2022-23']",271-730,0.6-0.8
197,,0.6702032553513549,1.5862390747093784,"['2022-23', '2019-20', '2021-22', '2016-17']",271-730,0.6-0.8
198,114.0,0.7629030190395291,1.5625823538628587,"['2023-24', '2016-17', '2015-16', '2017-18']",61-120,0.6-0.8
199,255.0,0.058108481721447336,1.7308503861580817,"['2023-24', '2021-22', '2022-23', '2018-19']",121-270,0.0-0.2
