"id","matchDate","Country","League","Season","homeTeam","awayTeam","referee","FTHG","FTAG","FTR"
"67263","01-10-25 21:00","Europe","Champions League","2025/2026","Arsenal","Olympiacos Piraeus","François Letexier","2","0","H"
"67264","01-10-25 21:00","Europe","Champions League","2025/2026","Barcelona","PSG","Michael Oliver","1","2","A"
"67265","01-10-25 21:00","Europe","Champions League","2025/2026","Bayer Leverkusen","PSV","Glenn Nyberg","1","1","D"
"67266","01-10-25 21:00","Europe","Champions League","2025/2026","Dortmund","Ath Bilbao","Szymon Marciniak","4","1","H"
"67267","01-10-25 21:00","Europe","Champions League","2025/2026","Monaco","Manchester City","Jesus Gil Manzano","2","2","D"
"67268","01-10-25 21:00","Europe","Champions League","2025/2026","Napoli","Sporting CP","Danny Makkelie","2","1","H"
"67269","01-10-25 21:00","Europe","Champions League","2025/2026","Villarreal","Juventus","Istvan Kovacs","2","2","D"
"67270","01-10-25 18:45","Europe","Champions League","2025/2026","Qarabag","FC Copenhagen","Serdar Gozubuyuk","2","0","H"
"67271","01-10-25 18:45","Europe","Champions League","2025/2026","Royale Union SG","Newcastle","Urs Schnyder","0","4","A"
"67272","30-09-25 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Eintracht Frankfurt","Slavko Vinčić","5","1","H"
"67273","30-09-25 21:00","Europe","Champions League","2025/2026","Bodo/Glimt","Tottenham","Ivan Kružliak","2","2","D"
"67274","30-09-25 21:00","Europe","Champions League","2025/2026","Chelsea","Benfica","Daniel Siebert","1","0","H"
"67275","30-09-25 21:00","Europe","Champions League","2025/2026","Galatasaray","Liverpool","Clement Turpin","1","0","H"
"67276","30-09-25 21:00","Europe","Champions League","2025/2026","Inter","Slavia Prague","Chris Kavanagh","3","0","H"
"67277","30-09-25 21:00","Europe","Champions League","2025/2026","Marseille","Ajax","Anthony Taylor","4","0","H"
"67278","30-09-25 21:00","Europe","Champions League","2025/2026","Pafos","Bayern Munich","Manfredas Lukjancukas","1","5","A"
"67279","30-09-25 18:45","Europe","Champions League","2025/2026","Atalanta","Club Brugge KV","Espen Eskas","2","1","H"
